stack: [2, 1, 3, 4, 5, 6] stack solved: [1, 2, 4, 5, 6] solution: [3]
stack: [2, 1, 3, 4, 6, 5] stack solved: [1, 3, 4, 6]    solution: [0, 0]
stack: [2, 1, 3, 5, 4, 6] stack solved: [1, 3, 5, 6]    solution: [1, 1]
stack: [2, 1, 3, 5, 6, 4] stack solved: [1, 3, 5, 6]    solution: [0, 0]
stack: [2, 1, 3, 6, 4, 5] stack solved: [1, 3, 4, 5]    solution: [2, 2]
stack: [2, 1, 3, 6, 5, 4] stack solved: [1, 5, 6]       solution: [0, 2, 0]
stack: [2, 1, 4, 3, 5, 6] stack solved: [1, 2, 3, 5, 6] solution: [3]
stack: [2, 1, 4, 3, 6, 5] stack solved: [1, 3, 6]       solution: [0, 0, 2]
stack: [2, 1, 4, 5, 3, 6] stack solved: [1, 4, 5, 6]    solution: [1, 1]
stack: [2, 1, 4, 5, 6, 3] stack solved: [1, 4, 5, 6]    solution: [0, 0]
stack: [2, 1, 4, 6, 3, 5] stack solved: [1, 2, 3, 5]    solution: [2, 4]
stack: [2, 1, 4, 6, 5, 3] stack solved: [1, 5, 6]       solution: [0, 2, 0]
stack: [2, 1, 5, 3, 4, 6] stack solved: [1, 2, 3, 4, 6] solution: [3]
stack: [2, 1, 5, 3, 6, 4] stack solved: [1, 3, 6]       solution: [0, 0, 2]
stack: [2, 1, 5, 4, 3, 6] stack solved: [1, 2, 3, 6]    solution: [2, 4]
stack: [2, 1, 5, 4, 6, 3] stack solved: [1, 4, 6]       solution: [0, 0, 2]
stack: [2, 1, 5, 6, 3, 4] stack solved: [1, 2, 3, 4]    solution: [2, 4]
stack: [2, 1, 5, 6, 4, 3] stack solved: [1, 4, 6]       solution: [0, 2, 0]
stack: [2, 1, 6, 3, 4, 5] stack solved: [1, 2, 3, 4, 5] solution: [3]
stack: [2, 1, 6, 3, 5, 4] stack solved: [1, 3, 5]       solution: [0, 0, 2]
stack: [2, 1, 6, 4, 3, 5] stack solved: [1, 2, 3, 5]    solution: [2, 4]
stack: [2, 1, 6, 4, 5, 3] stack solved: [1, 4, 5]       solution: [0, 0, 2]
stack: [2, 1, 6, 5, 3, 4] stack solved: [1, 2, 3, 4]    solution: [2, 4]
stack: [2, 1, 6, 5, 4, 3] stack solved: [4, 5, 6]       solution: [0, 1, 0]
stack: [2, 3, 1, 4, 5, 6] stack solved: [1, 2, 5, 6]    solution: [2, 3]
stack: [2, 3, 1, 4, 6, 5] stack solved: [1, 3, 6]       solution: [0, 0, 1]
stack: [2, 3, 1, 5, 4, 6] stack solved: [1, 2, 4, 6]    solution: [2, 3]
stack: [2, 3, 1, 5, 6, 4] stack solved: [1, 3, 6]       solution: [0, 0, 1]
stack: [2, 3, 1, 6, 4, 5] stack solved: [1, 2, 4, 5]    solution: [2, 3]
stack: [2, 3, 1, 6, 5, 4] stack solved: [1, 3, 5]       solution: [0, 0, 1]
stack: [2, 3, 4, 1, 5, 6] stack solved: [2, 3, 4, 6]    solution: [2, 1]
stack: [2, 3, 4, 1, 6, 5] stack solved: [2, 3, 4, 5]    solution: [2, 1]
stack: [2, 3, 4, 5, 1, 6] stack solved: [2, 3, 4, 5]    solution: [1, 0]
stack: [2, 3, 4, 5, 6, 1] stack solved: [3, 4, 5, 6]    solution: [0, 0]
stack: [2, 3, 4, 6, 1, 5] stack solved: [2, 3, 4, 6]    solution: [1, 0]
stack: [2, 3, 4, 6, 5, 1] stack solved: [2, 3, 4, 6]    solution: [1, 0]
stack: [2, 3, 5, 1, 4, 6] stack solved: [2, 3, 5, 6]    solution: [2, 1]
stack: [2, 3, 5, 1, 6, 4] stack solved: [1, 2, 3, 4]    solution: [3, 1]
stack: [2, 3, 5, 4, 1, 6] stack solved: [1, 2, 3, 5]    solution: [2, 0]
stack: [2, 3, 5, 4, 6, 1] stack solved: [3, 4, 6]       solution: [0, 0, 2]
stack: [2, 3, 5, 6, 1, 4] stack solved: [2, 3, 5, 6]    solution: [1, 0]
stack: [2, 3, 5, 6, 4, 1] stack solved: [2, 3, 5, 6]    solution: [1, 0]
stack: [2, 3, 6, 1, 4, 5] stack solved: [1, 2, 3, 5]    solution: [3, 1]
stack: [2, 3, 6, 1, 5, 4] stack solved: [1, 2, 3, 4]    solution: [3, 1]
stack: [2, 3, 6, 4, 1, 5] stack solved: [1, 2, 3, 6]    solution: [2, 0]
stack: [2, 3, 6, 4, 5, 1] stack solved: [3, 4, 5]       solution: [0, 0, 2]
stack: [2, 3, 6, 5, 1, 4] stack solved: [1, 2, 3, 6]    solution: [2, 0]
stack: [2, 3, 6, 5, 4, 1] stack solved: [4, 5, 6]       solution: [0, 1, 0]
stack: [2, 4, 1, 3, 5, 6] stack solved: [1, 2, 5, 6]    solution: [2, 3]
stack: [2, 4, 1, 3, 6, 5] stack solved: [1, 4, 6]       solution: [0, 0, 1]
stack: [2, 4, 1, 5, 3, 6] stack solved: [1, 2, 3, 6]    solution: [2, 3]
stack: [2, 4, 1, 5, 6, 3] stack solved: [1, 4, 6]       solution: [0, 0, 1]
stack: [2, 4, 1, 6, 3, 5] stack solved: [1, 2, 3, 5]    solution: [2, 3]
stack: [2, 4, 1, 6, 5, 3] stack solved: [1, 4, 5]       solution: [0, 0, 1]
stack: [2, 4, 3, 1, 5, 6] stack solved: [1, 2, 4, 6]    solution: [3, 1]
stack: [2, 4, 3, 1, 6, 5] stack solved: [1, 2, 4, 5]    solution: [3, 1]
stack: [2, 4, 3, 5, 1, 6] stack solved: [2, 3, 5]       solution: [1, 0, 2]
stack: [2, 4, 3, 5, 6, 1] stack solved: [3, 4, 6]       solution: [0, 0, 1]
stack: [2, 4, 3, 6, 1, 5] stack solved: [2, 3, 6]       solution: [1, 0, 2]
stack: [2, 4, 3, 6, 5, 1] stack solved: [3, 4, 5]       solution: [0, 0, 1]
stack: [2, 4, 5, 1, 3, 6] stack solved: [2, 4, 5, 6]    solution: [2, 1]
stack: [2, 4, 5, 1, 6, 3] stack solved: [4, 5, 6]       solution: [0, 3, 0]
stack: [2, 4, 5, 3, 1, 6] stack solved: [1, 2, 4, 5]    solution: [2, 0]
stack: [2, 4, 5, 3, 6, 1] stack solved: [4, 5, 6]       solution: [0, 3, 0]
stack: [2, 4, 5, 6, 1, 3] stack solved: [2, 4, 5, 6]    solution: [1, 0]
stack: [2, 4, 5, 6, 3, 1] stack solved: [2, 4, 5, 6]    solution: [1, 0]
stack: [2, 4, 6, 1, 3, 5] stack solved: [1, 2, 4, 5]    solution: [3, 1]
stack: [2, 4, 6, 1, 5, 3] stack solved: [1, 2, 3]       solution: [1, 2, 3]
stack: [2, 4, 6, 3, 1, 5] stack solved: [1, 2, 4, 6]    solution: [2, 0]
stack: [2, 4, 6, 3, 5, 1] stack solved: [2, 3, 6]       solution: [1, 2, 0]
stack: [2, 4, 6, 5, 1, 3] stack solved: [1, 2, 4, 6]    solution: [2, 0]
stack: [2, 4, 6, 5, 3, 1] stack solved: [3, 5, 6]       solution: [0, 1, 0]
stack: [2, 5, 1, 3, 4, 6] stack solved: [1, 2, 4, 6]    solution: [2, 3]
stack: [2, 5, 1, 3, 6, 4] stack solved: [1, 5, 6]       solution: [0, 0, 1]
stack: [2, 5, 1, 4, 3, 6] stack solved: [1, 2, 3, 6]    solution: [2, 3]
stack: [2, 5, 1, 4, 6, 3] stack solved: [1, 5, 6]       solution: [0, 0, 1]
stack: [2, 5, 1, 6, 3, 4] stack solved: [1, 2, 3, 4]    solution: [2, 3]
stack: [2, 5, 1, 6, 4, 3] stack solved: [1, 2, 3]       solution: [1, 2, 2]
stack: [2, 5, 3, 1, 4, 6] stack solved: [1, 2, 5, 6]    solution: [3, 1]
stack: [2, 5, 3, 1, 6, 4] stack solved: [1, 3, 5]       solution: [0, 0, 0]
stack: [2, 5, 3, 4, 1, 6] stack solved: [2, 3, 4]       solution: [1, 0, 2]
stack: [2, 5, 3, 4, 6, 1] stack solved: [3, 5, 6]       solution: [0, 0, 1]
stack: [2, 5, 3, 6, 1, 4] stack solved: [2, 3, 6]       solution: [1, 0, 2]
stack: [2, 5, 3, 6, 4, 1] stack solved: [2, 3, 6]       solution: [1, 0, 2]
stack: [2, 5, 4, 1, 3, 6] stack solved: [1, 2, 5, 6]    solution: [3, 1]
stack: [2, 5, 4, 1, 6, 3] stack solved: [1, 4, 5]       solution: [0, 0, 0]
stack: [2, 5, 4, 3, 1, 6] stack solved: [1, 3, 4, 5]    solution: [5, 0]
stack: [2, 5, 4, 3, 6, 1] stack solved: [3, 4, 5]       solution: [0, 0, 0]
stack: [2, 5, 4, 6, 1, 3] stack solved: [2, 4, 6]       solution: [1, 0, 2]
stack: [2, 5, 4, 6, 3, 1] stack solved: [2, 4, 6]       solution: [1, 0, 2]
stack: [2, 5, 6, 1, 3, 4] stack solved: [1, 2, 4]       solution: [1, 2, 3]
stack: [2, 5, 6, 1, 4, 3] stack solved: [1, 2, 3]       solution: [1, 2, 3]
stack: [2, 5, 6, 3, 1, 4] stack solved: [1, 2, 5, 6]    solution: [2, 0]
stack: [2, 5, 6, 3, 4, 1] stack solved: [2, 3, 6]       solution: [1, 2, 0]
stack: [2, 5, 6, 4, 1, 3] stack solved: [1, 2, 5, 6]    solution: [2, 0]
stack: [2, 5, 6, 4, 3, 1] stack solved: [3, 4, 6]       solution: [0, 1, 0]
stack: [2, 6, 1, 3, 4, 5] stack solved: [1, 2, 4, 5]    solution: [2, 3]
stack: [2, 6, 1, 3, 5, 4] stack solved: [1, 3, 5]       solution: [0, 0, 3]
stack: [2, 6, 1, 4, 3, 5] stack solved: [1, 2, 3, 5]    solution: [2, 3]
stack: [2, 6, 1, 4, 5, 3] stack solved: [1, 4, 5]       solution: [0, 0, 3]
stack: [2, 6, 1, 5, 3, 4] stack solved: [1, 2, 3, 4]    solution: [2, 3]
stack: [2, 6, 1, 5, 4, 3] stack solved: [1, 2, 3]       solution: [1, 2, 2]
stack: [2, 6, 3, 1, 4, 5] stack solved: [1, 3, 6]       solution: [0, 0, 0]
stack: [2, 6, 3, 1, 5, 4] stack solved: [1, 3, 6]       solution: [0, 0, 0]
stack: [2, 6, 3, 4, 1, 5] stack solved: [2, 3, 4]       solution: [1, 0, 2]
stack: [2, 6, 3, 4, 5, 1] stack solved: [3, 4, 5]       solution: [0, 0, 3]
stack: [2, 6, 3, 5, 1, 4] stack solved: [2, 3, 5]       solution: [1, 0, 2]
stack: [2, 6, 3, 5, 4, 1] stack solved: [2, 3, 5]       solution: [1, 0, 2]
stack: [2, 6, 4, 1, 3, 5] stack solved: [1, 4, 6]       solution: [0, 0, 0]
stack: [2, 6, 4, 1, 5, 3] stack solved: [1, 4, 6]       solution: [0, 0, 0]
stack: [2, 6, 4, 3, 1, 5] stack solved: [1, 3, 4, 6]    solution: [5, 0]
stack: [2, 6, 4, 3, 5, 1] stack solved: [3, 4, 6]       solution: [0, 0, 0]
stack: [2, 6, 4, 5, 1, 3] stack solved: [2, 4, 5]       solution: [1, 0, 2]
stack: [2, 6, 4, 5, 3, 1] stack solved: [2, 4, 5]       solution: [1, 0, 2]
stack: [2, 6, 5, 1, 3, 4] stack solved: [1, 5, 6]       solution: [0, 0, 0]
stack: [2, 6, 5, 1, 4, 3] stack solved: [1, 5, 6]       solution: [0, 0, 0]
stack: [2, 6, 5, 3, 1, 4] stack solved: [1, 3, 5, 6]    solution: [5, 0]
stack: [2, 6, 5, 3, 4, 1] stack solved: [3, 5, 6]       solution: [0, 0, 0]
stack: [2, 6, 5, 4, 1, 3] stack solved: [1, 4, 5, 6]    solution: [5, 0]
stack: [2, 6, 5, 4, 3, 1] stack solved: [3, 4, 5, 6]    solution: [5, 0]
stack: [3, 1, 2, 4, 5, 6] stack solved: [1, 3, 4, 5, 6] solution: [3]
stack: [3, 1, 2, 4, 6, 5] stack solved: [1, 2, 4, 6]    solution: [0, 0]
stack: [3, 1, 2, 5, 4, 6] stack solved: [1, 2, 5, 6]    solution: [1, 1]
stack: [3, 1, 2, 5, 6, 4] stack solved: [1, 2, 5, 6]    solution: [0, 0]
stack: [3, 1, 2, 6, 4, 5] stack solved: [1, 2, 4, 5]    solution: [2, 2]
stack: [3, 1, 2, 6, 5, 4] stack solved: [1, 5, 6]       solution: [0, 2, 0]
stack: [3, 1, 4, 2, 5, 6] stack solved: [1, 4, 5, 6]    solution: [2, 2]
stack: [3, 1, 4, 2, 6, 5] stack solved: [1, 2, 6]       solution: [0, 0, 2]
stack: [3, 1, 4, 5, 2, 6] stack solved: [1, 4, 5, 6]    solution: [1, 1]
stack: [3, 1, 4, 5, 6, 2] stack solved: [1, 4, 5, 6]    solution: [0, 0]
stack: [3, 1, 4, 6, 2, 5] stack solved: [1, 2, 6]       solution: [0, 2, 0]
stack: [3, 1, 4, 6, 5, 2] stack solved: [1, 5, 6]       solution: [0, 2, 0]
stack: [3, 1, 5, 2, 4, 6] stack solved: [1, 3, 4, 6]    solution: [2, 4]
